category,url,job_id,has_detail_section,detail_section_name,ville,departement,type_contrat,salaire,periode,niveau_etudes,experience,title,company,voir_plus_clicked,full_description,description_length,competences,nb_competences,remote,secteur,scraped_at,extraction_detailed,published_date,skip_reason,error
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786903.html,73786903,True,Les missions du poste,Quimper,29,CDI,28 000 - 56 000 € / an,,Bac +3,,"Business Developer 29 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,True,,2025-12-17T12:04:15.478188,True,il y a 26 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786902.html,73786902,True,Les missions du poste,Étienne,42,CDI,27 000 - 30 000 € / an,,Bac +3,,"Business Developer 42 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,True,,2025-12-17T12:04:27.091287,True,il y a 26 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786901.html,73786901,True,Les missions du poste,Caen,14,CDI,3 000 - 10 000 € / mois,,Bac +3,,"Business Developer 14 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,False,,2025-12-17T12:04:38.851754,True,il y a 28 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786900.html,73786900,True,Les missions du poste,Châteauroux,36,CDI,24 000 - 40 000 € / an,,Bac +3,,"Business Developer 36 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,False,,2025-12-17T12:04:50.153668,True,il y a 5 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786897.html,73786897,True,Les missions du poste,Beynost,01,CDI,"12,50 € / heure",18 mois,Bac +2,,"Assistant Commercial Sedentaire H/F
Ainterim",Ainterim,True,,0.0,,0.0,True,,2025-12-17T12:04:59.731377,True,il y a 20 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786895.html,73786895,True,Les missions du poste,Cahors,46,CDI,"621,60 - 80 000 € / an",,Bac +3,,"Business Developer 46 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,True,,2025-12-17T12:05:10.936867,True,il y a 22 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786896.html,73786896,True,Les missions du poste,Mende,48,CDI,25 000 - 30 000 € / an,,Bac +3,,"Business Developer 48 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,False,,2025-12-17T12:05:21.969116,True,il y a 6 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786894.html,73786894,True,Les missions du poste,Bains,04,CDI,25 000 - 40 000 € / an,,Bac +3,,"Business Developer 04 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,False,,2025-12-17T12:05:32.597772,True,il y a 29 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786893.html,73786893,True,Les missions du poste,Alençon,61,CDI,30 000 - 60 000 € / an,,Bac +3,,"Business Developer 61 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,False,,2025-12-17T12:05:46.214708,True,il y a 27 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73786891.html,73786891,True,Les missions du poste,Developer,06,CDI,1 802 - 6 800 € / mois,,Bac +3,,"Business Developer - 06 H/F
Plus que pro",Plus que pro,True,,0.0,,0.0,False,,2025-12-17T12:05:57.458264,True,il y a 24 jours,,
